"○ 월.분기.연간 인구동향(출생,사망,혼인,이혼) [명, 건]",,,
행정구역별,종류별,시점,"출생,사망,혼인,이혼"
전국,출생아수(명),2007.10 월,45722
전국,출생아수(명),2007.11 월,41865
전국,출생아수(명),2007.12 월,36719
전국,출생아수(명),2008.01 월,46747
전국,출생아수(명),2008.02 월,39495
전국,출생아수(명),2008.03 월,41318
전국,출생아수(명),2008.04 월,38783
전국,출생아수(명),2008.05 월,37598
전국,출생아수(명),2008.06 월,35035
전국,출생아수(명),2008.07 월,38042
전국,출생아수(명),2008.08 월,37787
전국,출생아수(명),2008.09 월,40037
전국,출생아수(명),2008.10 월,39886
전국,출생아수(명),2008.11 월,36473
전국,출생아수(명),2008.12 월,34691
전국,출생아수(명),2009.01 월,44149
전국,출생아수(명),2009.02 월,36681
전국,출생아수(명),2009.03 월,39834
전국,출생아수(명),2009.04 월,37539
전국,출생아수(명),2009.05 월,35864
전국,출생아수(명),2009.06 월,34122
전국,출생아수(명),2009.07 월,35779
전국,출생아수(명),2009.08 월,36169
전국,출생아수(명),2009.09 월,38187
전국,출생아수(명),2009.10 월,37737
전국,출생아수(명),2009.11 월,35172
전국,출생아수(명),2009.12 월,33616
전국,출생아수(명),2010.01 월,42936
전국,출생아수(명),2010.02 월,36639
전국,출생아수(명),2010.03 월,40975
전국,출생아수(명),2010.04 월,38336
전국,출생아수(명),2010.05 월,37005
전국,출생아수(명),2010.06 월,36028
전국,출생아수(명),2010.07 월,37106
전국,출생아수(명),2010.08 월,38392
전국,출생아수(명),2010.09 월,42294
전국,출생아수(명),2010.10 월,43625
전국,출생아수(명),2010.11 월,41318
전국,출생아수(명),2010.12 월,35517
전국,출생아수(명),2011.01 월,47577
전국,출생아수(명),2011.02 월,38160
전국,출생아수(명),2011.03 월,43260
전국,출생아수(명),2011.04 월,40376
전국,출생아수(명),2011.05 월,38958
전국,출생아수(명),2011.06 월,36766
전국,출생아수(명),2011.07 월,38168
전국,출생아수(명),2011.08 월,39360
전국,출생아수(명),2011.09 월,38963
전국,출생아수(명),2011.10 월,38359
전국,출생아수(명),2011.11 월,37328
전국,출생아수(명),2011.12 월,33990
전국,출생아수(명),2012.01 월,44984
전국,출생아수(명),2012.02 월,40609
전국,출생아수(명),2012.03 월,43209
전국,출생아수(명),2012.04 월,40094
전국,출생아수(명),2012.05 월,39388
전국,출생아수(명),2012.06 월,38170
전국,출생아수(명),2012.07 월,40127
전국,출생아수(명),2012.08 월,41455
전국,출생아수(명),2012.09 월,41735
전국,출생아수(명),2012.10 월,41889
전국,출생아수(명),2012.11 월,38579
전국,출생아수(명),2012.12 월,34311
전국,출생아수(명),2013.01 월,44247
전국,출생아수(명),2013.02 월,36645
전국,출생아수(명),2013.03 월,38540
전국,출생아수(명),2013.04 월,36738
전국,출생아수(명),2013.05 월,35626
전국,출생아수(명),2013.06 월,33154
전국,출생아수(명),2013.07 월,36188
전국,출생아수(명),2013.08 월,36400
전국,출생아수(명),2013.09 월,37063
전국,출생아수(명),2013.10 월,36055
전국,출생아수(명),2013.11 월,33827
전국,출생아수(명),2013.12 월,31972
전국,출생아수(명),2014.01 월,41229
전국,출생아수(명),2014.02 월,36754
전국,출생아수(명),2014.03 월,38021
전국,출생아수(명),2014.04 월,37183
전국,출생아수(명),2014.05 월,35749
전국,출생아수(명),2014.06 월,34171
전국,출생아수(명),2014.07 월,36390
전국,출생아수(명),2014.08 월,36539
전국,출생아수(명),2014.09 월,37879
전국,출생아수(명),2014.10 월,36450
전국,출생아수(명),2014.11 월,32379
전국,출생아수(명),2014.12 월,32691
전국,출생아수(명),2015.01 월,41914
전국,출생아수(명),2015.02 월,35709
전국,출생아수(명),2015.03 월,40329
전국,출생아수(명),2015.04 월,38072
전국,출생아수(명),2015.05 월,36534
전국,출생아수(명),2015.06 월,35520
전국,출생아수(명),2015.07 월,36612
전국,출생아수(명),2015.08 월,35207
전국,출생아수(명),2015.09 월,36444
전국,출생아수(명),2015.10 월,36702
전국,출생아수(명),2015.11 월,33467
전국,출생아수(명),2015.12 월,31910
전국,출생아수(명),2016.01 월,39405
전국,출생아수(명),2016.02 월,34830
전국,출생아수(명),2016.03 월,38131
전국,출생아수(명),2016.04 월,35147
전국,출생아수(명),2016.05 월,34341
전국,출생아수(명),2016.06 월,32849
전국,출생아수(명),2016.07 월,33920
전국,출생아수(명),2016.08 월,33897
전국,출생아수(명),2016.09 월,34375
전국,출생아수(명),2016.10 월,31592
전국,출생아수(명),2016.11 월,30366
전국,출생아수(명),2016.12 월,27390
전국,출생아수(명),2017.01 월,34834
전국,출생아수(명),2017.02 월,30499
전국,출생아수(명),2017.03 월,33196
전국,출생아수(명),2017.04 월,30337
전국,출생아수(명),2017.05 월,30303
전국,출생아수(명),2017.06 월,28892
전국,출생아수(명),2017.07 월,29418
전국,출생아수(명),2017.08 월,30135
전국,출생아수(명),2017.09 월,30085
전국,출생아수(명),2017.10 월,27857
전국,출생아수(명),2017.11 월,27068
전국,출생아수(명),2017.12 월,25147
전국,출생아수(명),2018.01 월,32198
전국,출생아수(명),2018.02 월,27575
전국,출생아수(명),2018.03 월,29987
전국,출생아수(명),2018.04 월,27734
전국,출생아수(명),2018.05 월,27949
전국,출생아수(명),2018.06 월,26357
전국,출생아수(명),2018.07 월,27033
전국,출생아수(명),2018.08 월,27381
전국,출생아수(명),2018.09 월,26066
전국,출생아수(명),2018.10 월,26474
전국,출생아수(명),2018.11 월,25301
전국,출생아수(명),2018.12 월,22767
전국,출생아수(명),2019.01 월,30271
전국,출생아수(명),2019.02 월,25710
전국,출생아수(명),2019.03 월,27049
전국,출생아수(명),2019.04 월,26104
전국,출생아수(명),2019.05 월,25299
전국,출생아수(명),2019.06 월,23992
전국,출생아수(명),2019.07 월,25222
전국,출생아수(명),2019.08 월,24371
전국,출생아수(명),2019.09 월,24090
전국,출생아수(명),2019.10 월,25613
전국,출생아수(명),2019.11 월,23727
전국,출생아수(명),2019.12 월,21228
전국,출생아수(명),2020.01 월,26646
전국,출생아수(명),2020.02 월,22759
전국,출생아수(명),2020.03 월,24190
전국,출생아수(명),2020.04 월,23299
전국,출생아수(명),2020.05 월,22847
전국,출생아수(명),2020.06 월,22117
전국,출생아수(명),2020.07 월,22999
전국,출생아수(명),2020.08 월,22402
전국,출생아수(명),2020.09 월,23499
전국,출생아수(명),2020.10 월,21884
전국,출생아수(명),2020.11 월,20054
전국,출생아수(명),2020.12 월,19641
